pathway_id	pathway_name	category	kegg_reactions	seed_mapped	bigg_mapped	both_bigg_and_seed	either_bigg_or_seed	unmapped_to_bigg_or_seed	seed_mapped_percent	bigg_mapped_percent	either_mapped_percent
map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	52	44	28	28	44	8	84.6%	53.8%	84.6%
map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	28	21	20	20	21	7	75.0%	71.4%	75.0%
map00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	51	48	24	24	48	3	94.1%	47.1%	94.1%
map00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	72	62	26	25	63	9	86.1%	36.1%	87.5%
map00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	75	62	24	24	62	13	82.7%	32.0%	82.7%
map00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	57	51	13	12	52	5	89.5%	22.8%	91.2%
map00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	57	49	25	25	49	8	86.0%	43.9%	86.0%
map00061	Fatty acid biosynthesis	Metabolism; Lipid metabolism	57	8	7	4	11	46	14.0%	12.3%	19.3%
map00062	Fatty acid elongation	Metabolism; Lipid metabolism	34	25	25	25	25	9	73.5%	73.5%	73.5%
map00071	Fatty acid degradation	Metabolism; Lipid metabolism	47	36	35	35	36	11	76.6%	74.5%	76.6%
map00072	Synthesis and degradation of ketone bodies	Metabolism; Lipid metabolism	6	6	6	6	6	0	100.0%	100.0%	100.0%
map00073	Cutin, suberine and wax biosynthesis	Metabolism; Lipid metabolism	26	13	1	1	13	13	50.0%	3.8%	50.0%
map00100	Steroid biosynthesis	Metabolism; Lipid metabolism	55	30	15	15	30	25	54.5%	27.3%	54.5%
map00120	Primary bile acid biosynthesis	Metabolism; Lipid metabolism	53	40	21	21	40	13	75.5%	39.6%	75.5%
map00121	Secondary bile acid biosynthesis	Metabolism; Lipid metabolism	0	0	0	0	0	0	0.0%	0.0%	0.0%
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism; Metabolism of cofactors and vitamins	83	42	15	15	42	41	50.6%	18.1%	50.6%
map00140	Steroid hormone biosynthesis	Metabolism; Lipid metabolism	139	103	39	39	103	36	74.1%	28.1%	74.1%
map00190	Oxidative phosphorylation	Metabolism; Energy metabolism	0	0	0	0	0	0	0.0%	0.0%	0.0%
map00195	Photosynthesis	Metabolism; Energy metabolism	0	0	0	0	0	0	0.0%	0.0%	0.0%
map00196	Photosynthesis - antenna proteins	Metabolism; Energy metabolism	0	0	0	0	0	0	0.0%	0.0%	0.0%
map00230	Purine metabolism	Metabolism; Nucleotide metabolism	151	138	114	114	138	13	91.4%	75.5%	91.4%
map00231	Puromycin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	10	9	0	0	9	1	90.0%	0.0%	90.0%
map00232	Caffeine metabolism	Metabolism; Biosynthesis of other secondary metabolites	41	35	0	0	35	6	85.4%	0.0%	85.4%
map00240	Pyrimidine metabolism	Metabolism; Nucleotide metabolism	119	74	74	63	85	34	62.2%	62.2%	71.4%
map00250	Alanine, aspartate and glutamate metabolism	Metabolism; Amino acid metabolism	47	46	38	38	46	1	97.9%	80.9%	97.9%
map00253	Tetracycline biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	22	14	1	1	14	8	63.6%	4.5%	63.6%
map00254	Aflatoxin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	29	24	1	1	24	5	82.8%	3.4%	82.8%
map00260	Glycine, serine and threonine metabolism	Metabolism; Amino acid metabolism	66	58	44	44	58	8	87.9%	66.7%	87.9%
map00270	Cysteine and methionine metabolism	Metabolism; Amino acid metabolism	80	70	51	49	72	8	87.5%	63.7%	90.0%
map00280	Valine, leucine and isoleucine degradation	Metabolism; Amino acid metabolism	45	35	24	24	35	10	77.8%	53.3%	77.8%
map00281	Geraniol degradation	Metabolism; Metabolism of terpenoids and polyketides	22	16	0	0	16	6	72.7%	0.0%	72.7%
map00290	Valine, leucine and isoleucine biosynthesis	Metabolism; Amino acid metabolism	25	25	14	14	25	0	100.0%	56.0%	100.0%
map00300	Lysine biosynthesis	Metabolism; Amino acid metabolism	39	39	22	22	39	0	100.0%	56.4%	100.0%
map00310	Lysine degradation	Metabolism; Amino acid metabolism	63	53	30	30	53	10	84.1%	47.6%	84.1%
map00311	Penicillin and cephalosporin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	17	14	0	0	14	3	82.4%	0.0%	82.4%
map00312	beta-Lactam resistance	Human Diseases; Drug resistance	0	0	0	0	0	0	0.0%	0.0%	0.0%
map00330	Arginine and proline metabolism	Metabolism; Amino acid metabolism	128	118	85	85	118	10	92.2%	66.4%	92.2%
map00331	Clavulanic acid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	8	8	0	0	8	0	100.0%	0.0%	100.0%
map00340	Histidine metabolism	Metabolism; Amino acid metabolism	50	46	18	18	46	4	92.0%	36.0%	92.0%
map00350	Tyrosine metabolism	Metabolism; Amino acid metabolism	105	83	55	52	86	19	79.0%	52.4%	81.9%
map00351	DDT degradation	Metabolism; Xenobiotics biodegradation and metabolism	24	19	0	0	19	5	79.2%	0.0%	79.2%
map00360	Phenylalanine metabolism	Metabolism; Amino acid metabolism	85	68	23	22	69	16	80.0%	27.1%	81.2%
map00361	Chlorocyclohexane and chlorobenzene degradation	Metabolism; Xenobiotics biodegradation and metabolism	86	68	0	0	68	18	79.1%	0.0%	79.1%
map00362	Benzoate degradation	Metabolism; Xenobiotics biodegradation and metabolism	84	60	14	13	61	23	71.4%	16.7%	72.6%
map00363	Bisphenol degradation	Metabolism; Xenobiotics biodegradation and metabolism	23	23	0	0	23	0	100.0%	0.0%	100.0%
map00364	Fluorobenzoate degradation	Metabolism; Xenobiotics biodegradation and metabolism	35	32	0	0	32	3	91.4%	0.0%	91.4%
map00365	Furfural degradation	Metabolism; Xenobiotics biodegradation and metabolism	11	6	0	0	6	5	54.5%	0.0%	54.5%
map00380	Tryptophan metabolism	Metabolism; Amino acid metabolism	94	75	34	34	75	19	79.8%	36.2%	79.8%
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism; Amino acid metabolism	49	48	32	32	48	1	98.0%	65.3%	98.0%
map00401	Novobiocin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	31	25	2	2	25	6	80.6%	6.5%	80.6%
map00402	Benzoxazinoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	8	4	0	0	4	4	50.0%	0.0%	50.0%
map00403	Indole diterpene alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	37	37	0	0	37	0	100.0%	0.0%	100.0%
map00410	beta-Alanine metabolism	Metabolism; Metabolism of other amino acids	36	33	22	20	35	1	91.7%	61.1%	97.2%
map00430	Taurine and hypotaurine metabolism	Metabolism; Metabolism of other amino acids	23	19	10	10	19	4	82.6%	43.5%	82.6%
map00440	Phosphonate and phosphinate metabolism	Metabolism; Metabolism of other amino acids	52	43	4	4	43	9	82.7%	7.7%	82.7%
map00450	Selenocompound metabolism	Metabolism; Metabolism of other amino acids	24	18	6	6	18	6	75.0%	25.0%	75.0%
map00460	Cyanoamino acid metabolism	Metabolism; Metabolism of other amino acids	51	41	5	5	41	10	80.4%	9.8%	80.4%
map00471	D-Glutamine and D-glutamate metabolism	Metabolism; Metabolism of other amino acids	11	10	6	6	10	1	90.9%	54.5%	90.9%
map00472	D-Arginine and D-ornithine metabolism	Metabolism; Metabolism of other amino acids	10	8	4	4	8	2	80.0%	40.0%	80.0%
